Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3
4/4/2018 15:00,-5.82E-08,-2.094395168,2.094395038
4/4/2018 15:15,-5.84E-08,-2.094395168,2.094395038
4/4/2018 15:30,-5.66E-08,-2.094395167,2.09439504
4/4/2018 15:45,-5.64E-08,-2.094395166,2.09439504
4/4/2018 16:00,-5.62E-08,-2.094395165,2.09439504
4/4/2018 16:15,-5.62E-08,-2.094395165,2.09439504
4/4/2018 16:30,-5.66E-08,-2.094395164,2.09439504
4/4/2018 16:45,-5.60E-08,-2.094395163,2.094395041
4/4/2018 17:00,-5.57E-08,-2.094395162,2.094395041
4/4/2018 17:15,-5.42E-08,-2.094395162,2.094395041
4/4/2018 17:30,-5.47E-08,-2.094395162,2.094395041
4/4/2018 17:45,-5.42E-08,-2.094395161,2.094395041
4/4/2018 18:00,-5.66E-08,-2.094395162,2.094395039
4/4/2018 18:15,-5.62E-08,-2.094395162,2.094395038
4/4/2018 18:30,-5.61E-08,-2.094395163,2.094395038
4/4/2018 18:45,-5.39E-08,-2.094395161,2.09439504
4/5/2018 7:00,-6.21E-08,-2.094395169,2.09439503
4/5/2018 7:15,-6.29E-08,-2.094395169,2.094395031
4/5/2018 7:30,-6.38E-08,-2.09439517,2.09439503
4/5/2018 7:45,-6.39E-08,-2.094395172,2.094395029
4/5/2018 8:00,-6.37E-08,-2.094395172,2.09439503
4/5/2018 8:15,-6.33E-08,-2.094395172,2.09439503
4/5/2018 8:30,-6.52E-08,-2.094395172,2.09439503
4/5/2018 8:45,-6.56E-08,-2.094395171,2.09439503
4/5/2018 9:00,-6.21E-08,-2.094395169,2.094395032
4/5/2018 9:15,-6.17E-08,-2.094395169,2.094395032
4/5/2018 9:30,-6.15E-08,-2.094395169,2.094395031
4/5/2018 9:45,-6.13E-08,-2.094395169,2.094395032
4/5/2018 10:00,-6.13E-08,-2.094395169,2.094395032
4/5/2018 10:15,-6.12E-08,-2.09439517,2.094395033
4/5/2018 10:30,-6.09E-08,-2.09439517,2.094395033
4/5/2018 10:45,-6.09E-08,-2.094395169,2.094395033
4/5/2018 11:00,-6.06E-08,-2.094395168,2.094395034
4/5/2018 11:15,-6.00E-08,-2.094395168,2.094395034
4/5/2018 11:30,-5.98E-08,-2.094395168,2.094395035
4/5/2018 11:45,-6.03E-08,-2.094395168,2.094395035
4/5/2018 12:00,-5.98E-08,-2.094395168,2.094395035
4/5/2018 12:15,-5.81E-08,-2.094395167,2.094395037
4/5/2018 12:30,-5.77E-08,-2.094395166,2.094395039
4/5/2018 12:45,-5.62E-08,-2.094395166,2.09439504
4/5/2018 13:00,-5.63E-08,-2.094395166,2.094395041
4/5/2018 13:15,-5.80E-08,-2.094395168,2.094395039
4/5/2018 13:30,-5.92E-08,-2.094395168,2.094395037
4/5/2018 13:45,-5.91E-08,-2.094395168,2.094395037
4/5/2018 14:00,-5.86E-08,-2.094395168,2.094395038
4/5/2018 14:15,-5.78E-08,-2.094395168,2.094395039
4/5/2018 14:30,-5.71E-08,-2.094395168,2.09439504
4/5/2018 14:45,-5.76E-08,-2.094395168,2.094395039
4/5/2018 15:00,-5.80E-08,-2.094395168,2.094395038
4/5/2018 15:15,-5.87E-08,-2.094395168,2.094395038
4/5/2018 15:30,-5.72E-08,-2.094395165,2.09439504
4/5/2018 15:45,-5.58E-08,-2.094395165,2.094395042
4/5/2018 16:00,-5.38E-08,-2.094395164,2.094395043
4/5/2018 16:15,-5.40E-08,-2.094395164,2.094395043
4/5/2018 16:30,-5.46E-08,-2.094395163,2.094395043
4/5/2018 16:45,-5.61E-08,-2.094395163,2.094395042
4/5/2018 17:00,-5.53E-08,-2.094395162,2.094395041
4/5/2018 17:15,-5.46E-08,-2.094395161,2.094395041
4/5/2018 17:30,-5.39E-08,-2.09439516,2.094395042
4/5/2018 17:45,-5.43E-08,-2.09439516,2.094395041
4/5/2018 18:00,-5.69E-08,-2.094395162,2.094395038
4/5/2018 18:15,-5.81E-08,-2.094395163,2.094395037
4/5/2018 18:30,-5.87E-08,-2.094395165,2.094395036
4/5/2018 18:45,-5.74E-08,-2.094395164,2.094395037
4/6/2018 7:00,-3.19E-08,-2.09439514,2.094395059
4/6/2018 7:15,-3.12E-08,-2.09439514,2.09439506
4/6/2018 7:30,-3.18E-08,-2.094395141,2.094395061
4/6/2018 7:45,-3.08E-08,-2.09439514,2.094395062
4/6/2018 8:00,-2.94E-08,-2.09439514,2.094395063
4/6/2018 8:15,-2.89E-08,-2.094395141,2.094395065
4/6/2018 8:30,-2.73E-08,-2.09439514,2.094395067
4/6/2018 8:45,-2.59E-08,-2.09439514,2.09439507
4/6/2018 9:00,-2.40E-08,-2.09439514,2.094395073
4/6/2018 9:15,-2.27E-08,-2.09439514,2.094395075
4/6/2018 9:30,-2.12E-08,-2.094395141,2.094395078
4/6/2018 9:45,-1.97E-08,-2.094395141,2.09439508
4/6/2018 10:00,-1.85E-08,-2.09439514,2.094395082
4/6/2018 10:15,-1.73E-08,-2.09439514,2.094395084
4/6/2018 10:30,-1.58E-08,-2.094395141,2.094395086
4/6/2018 10:45,-1.46E-08,-2.094395141,2.094395088
4/6/2018 11:00,-1.47E-08,-2.094395139,2.09439509
4/6/2018 11:15,-1.44E-08,-2.09439514,2.09439509
4/6/2018 11:30,-1.53E-08,-2.094395139,2.094395091
4/6/2018 11:45,-1.42E-08,-2.09439514,2.09439509
4/6/2018 12:00,-1.53E-08,-2.094395141,2.094395089
4/6/2018 12:15,-1.39E-08,-2.09439514,2.09439509
4/6/2018 12:30,-1.26E-08,-2.094395139,2.094395091
4/6/2018 12:45,-1.23E-08,-2.094395139,2.094395091
4/6/2018 13:00,-1.19E-08,-2.094395138,2.094395092
4/6/2018 13:15,-1.14E-08,-2.094395138,2.094395092
4/6/2018 13:30,-1.16E-08,-2.094395138,2.094395092
4/6/2018 13:45,-1.20E-08,-2.094395138,2.094395091
4/6/2018 14:00,-1.21E-08,-2.094395139,2.094395089
4/6/2018 14:15,-1.21E-08,-2.094395139,2.094395089
4/6/2018 14:30,-1.26E-08,-2.094395139,2.094395088
4/6/2018 14:45,-1.26E-08,-2.094395139,2.094395088
4/6/2018 15:00,-1.27E-08,-2.09439514,2.094395088
4/6/2018 15:15,-1.36E-08,-2.094395139,2.094395086
4/6/2018 15:30,-1.49E-08,-2.094395139,2.094395084
4/6/2018 15:45,-1.59E-08,-2.094395139,2.094395082
4/6/2018 16:00,-1.81E-08,-2.094395139,2.09439508
4/6/2018 16:15,-1.96E-08,-2.094395139,2.094395078
4/6/2018 16:30,-2.13E-08,-2.094395139,2.094395076
4/6/2018 16:45,-2.27E-08,-2.094395139,2.094395074
4/6/2018 17:00,-2.42E-08,-2.094395139,2.094395073
4/6/2018 17:15,-2.58E-08,-2.094395139,2.09439507
4/6/2018 17:30,-2.74E-08,-2.09439514,2.094395068
