Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3,P1ULV4109.1,P1ULV4109.2,P1ULV4112.2,P1ULV4136.1,P1ULV4136.2,P1ULV4138.1,P1ULV7543.1,P1ULV4139.1,P1ULV4139.2,P1ULV4140.1,P1ULV4140.2,P1ULV7633.2,P1ULV4197.1,P1ULV4155.1,P1ULV4155.2,P1ULV4193.1,P1ULV4193.2,P1ULV4196.1,P1ULV4196.2,P1ULV7544.1,P1ULV7544.2,P1ULV7547.2,P1ULV4153.1,P1ULV4153.2,P1ULV4154.1,P1ULV4154.3,P1ULV7531.1,P1ULV7531.2,P1ULV7531.3,P1ULV4189.1,P1ULV4189.2,P1ULV4189.3,P1ULV4188.2,P1ULV4188.3,P1ULV4132.2
4/18/2018 11:30,7363.977607,7363.977513,7363.97774,120.9637868,120.9929985,121.7867674,122.021408,122.0805851,121.5568313,121.2594742,121.1822878,121.2763907,126.6828618,126.719003,137.6049511,122.3787883,122.4102222,122.4285273,124.4713961,125.2757356,120.134199,120.4379637,120.5486513,120.6629037,122.1810916,273.915823,273.9160443,276.888421,276.9834338,272.1588739,272.008177,272.2865852,276.4537262,276.4701642,276.5627603,275.3374556,275.4373108,274.7660245
4/18/2018 11:45,7387.986191,7387.986094,7387.98632,121.3591148,121.3884651,122.1830478,122.4494866,122.5082531,121.9472,121.6465486,121.5750716,121.6703057,127.09472,127.1309746,138.0520886,122.7757351,122.8057946,122.8243926,124.871529,125.3108064,120.4413559,120.7619418,121.0688725,121.1683782,122.5776348,274.8134501,274.8107183,277.7989859,277.891922,273.1616852,273.0047297,273.2842757,276.3187717,276.333226,276.427867,276.2333239,276.3349364,275.3571507
4/18/2018 12:00,7385.125844,7385.125724,7385.125954,121.3264687,121.3558296,122.1329331,122.4616294,122.5192991,121.9006101,121.5971616,121.526678,121.6229067,127.047399,127.0836386,138.0005268,122.7292638,122.747018,122.7663027,124.8189487,125.3019185,120.3885494,120.7098738,120.898414,121.0118832,122.5389271,274.7265263,274.7047701,277.7745055,277.8618512,273.9397371,273.735593,274.0473899,276.1443042,276.1526473,276.2515794,276.1375914,276.2434556,274.9309991
4/18/2018 12:15,7377.273935,7377.27381,7377.274045,121.2081971,121.2375166,121.9727731,122.3712486,122.4280986,121.7703595,121.4355799,121.373826,121.4729727,126.9644157,126.9995456,137.9753586,122.6120158,122.6170244,122.6363474,124.6817366,125.2843154,120.1844628,120.5203267,120.7363583,120.8535821,122.4227664,274.4425707,274.4175576,277.5482478,277.6363996,274.4047305,274.1940561,274.5143881,275.8518872,275.8585466,275.9602084,275.8454637,275.9542504,274.6161593
4/18/2018 12:30,7424.875129,7424.875002,7424.875239,121.9889908,122.0185923,122.7571143,123.1898371,123.2465076,122.5526364,122.2096897,122.1481123,122.2488441,127.7887601,127.8242805,138.8558319,123.4056107,123.403626,123.4234567,125.4824813,125.3611736,120.950027,121.2883914,121.5069281,121.6255152,123.2150856,276.2167369,276.1902546,279.9595918,280.0479415,276.1740344,275.9607849,276.284576,277.6331785,277.639558,277.7423049,277.625453,277.7353925,276.6746242
4/18/2018 12:45,7443.882708,7443.88257,7443.882819,122.2964684,122.3262253,123.0653871,123.526401,123.582769,122.8658359,122.5181314,122.4544991,122.5557599,128.1848488,128.219133,139.2459168,123.7720193,123.3662737,123.4129592,125.7992919,125.3890507,121.2486835,121.5881237,121.8109821,121.9298696,123.5177548,276.9177155,276.8822382,280.7332103,280.8280175,276.7709695,276.5514922,276.885135,278.3389004,278.3442037,278.4508531,278.3354493,278.4494303,277.3789129
4/18/2018 13:00,7423.916149,7423.916011,7423.91626,121.9552201,121.9850117,122.7267705,123.2144553,123.2702384,122.53134,122.1849455,122.1217874,122.2228587,127.8872505,127.9212422,138.8743443,123.4449253,123.0465813,123.0913677,125.4566484,125.3502396,120.9116108,121.2503333,121.4804461,121.5985902,123.1886671,276.1645248,276.1282848,279.9089463,280.0028851,275.1768864,274.9557824,275.2901495,277.58355,277.5888014,277.6956452,277.5838647,277.698077,276.6466406
4/18/2018 13:15,7379.218727,7379.218598,7379.218837,121.211595,121.2412959,121.9840189,122.4634026,122.5229061,121.7634255,121.4463439,121.3838664,121.4844086,127.116614,127.1501492,138.0398321,122.6951627,122.5909094,122.6133213,124.6961758,125.2696841,120.1704435,120.5075016,120.765605,120.8807518,122.440386,274.4941541,274.4652125,278.1506714,278.2390256,272.766102,272.5508204,272.8762629,275.9070274,275.9134244,276.017572,275.8499057,275.9614479,274.9517777
4/18/2018 13:30,7371.77938,7371.779248,7371.779488,121.0861336,121.1158828,121.858353,122.3548532,122.4139831,121.6181567,121.322425,121.2603298,121.3608537,126.9584336,126.9921573,137.8476529,122.5610587,122.2756647,122.3123799,124.566747,125.2534946,120.0373483,120.3742231,120.7574599,120.8588514,122.3134044,274.2106362,274.1780506,277.2463734,277.3367246,272.4419518,272.2272106,272.5513717,275.624045,275.6295596,275.7342322,275.5118607,275.6239402,274.5199839
4/18/2018 13:45,7435.103166,7435.103019,7435.103269,122.122855,122.1529467,122.8997616,123.4282567,123.487451,122.6435149,122.3714813,122.3244301,122.4247091,127.9506486,127.9864274,138.9233131,123.554397,122.9596,123.0248562,125.6342506,125.358079,121.0550877,121.3950276,121.7128626,121.8241327,123.3603382,276.5618008,276.5170874,279.5579057,279.6534102,274.7803243,274.5533916,274.8911275,277.98855,277.9904819,278.0984703,277.8159403,277.9312991,276.7177724
